frame_number,timestamp,track_id,x1,y1,x2,y2,confidence
4,0.16,1,482,498,497,516,1.0
5,0.2,1,482,498,497,516,1.0
6,0.24,1,482,498,497,516,1.0
7,0.28,1,482,498,497,516,1.0
8,0.32,1,482,498,497,516,1.0
9,0.36,1,482,498,497,516,1.0
10,0.4,1,482,498,497,516,1.0
11,0.44,1,482,498,497,516,1.0
12,0.48,1,482,498,497,516,1.0
13,0.52,1,482,498,497,516,1.0
14,0.56,1,482,498,497,516,1.0
15,0.6,1,482,498,497,516,1.0
16,0.64,1,482,498,497,516,1.0
17,0.68,1,482,498,497,516,1.0
18,0.72,1,482,498,497,516,1.0
19,0.76,1,482,498,497,516,1.0
20,0.8,1,482,498,497,516,1.0
21,0.84,1,482,498,497,516,1.0
22,0.88,1,482,498,497,516,1.0
23,0.92,1,482,498,497,516,1.0
24,0.96,1,482,498,497,516,1.0
25,1.0,1,482,498,497,516,1.0
26,1.04,1,482,498,497,516,1.0
27,1.08,1,482,498,497,516,1.0
28,1.12,1,482,498,497,516,1.0
28,1.12,2,651,488,666,503,1.0
29,1.16,1,482,498,497,516,1.0
29,1.16,2,651,488,666,503,1.0
30,1.2,1,482,498,497,516,1.0
30,1.2,2,647,485,661,501,1.0
31,1.24,1,482,498,497,516,1.0
31,1.24,2,643,484,658,500,1.0
32,1.28,1,482,498,497,516,1.0
32,1.28,2,643,484,658,500,1.0
33,1.32,1,482,498,497,516,1.0
33,1.32,2,639,483,652,497,1.0
34,1.36,1,482,498,497,516,1.0
34,1.36,2,639,483,652,497,1.0
35,1.4,2,639,483,652,497,1.0
36,1.44,2,639,483,652,497,1.0
37,1.48,2,629,478,642,491,1.0
38,1.52,2,627,478,640,491,1.0
39,1.56,2,624,477,638,490,1.0
40,1.6,2,622,477,635,489,1.0
41,1.64,2,622,477,635,489,1.0
42,1.68,2,622,477,635,489,1.0
43,1.72,2,622,477,635,489,1.0
44,1.76,2,638,468,650,481,1.0
45,1.8,2,638,468,650,481,1.0
46,1.84,2,647,462,659,477,1.0
47,1.88,2,647,462,659,477,1.0
48,1.92,2,654,456,665,470,1.0
49,1.96,2,654,456,665,470,1.0
50,2.0,2,654,456,665,470,1.0
51,2.04,2,654,456,665,470,1.0
52,2.08,2,654,456,665,470,1.0
53,2.12,2,654,456,665,470,1.0
54,2.16,2,654,456,665,470,1.0
55,2.2,2,654,456,665,470,1.0
56,2.24,2,654,456,665,470,1.0
57,2.28,2,654,456,665,470,1.0
58,2.32,2,654,456,665,470,1.0
59,2.36,2,654,456,665,470,1.0
60,2.4,2,654,456,665,470,1.0
61,2.44,2,654,456,665,470,1.0
62,2.48,2,656,438,669,450,1.0
63,2.52,2,662,436,675,450,1.0
64,2.56,2,662,436,675,450,1.0
65,2.6,2,662,436,675,450,1.0
66,2.64,2,678,431,692,446,1.0
67,2.68,2,682,430,696,445,1.0
68,2.72,2,686,431,699,443,1.0
69,2.76,2,689,429,702,442,1.0
70,2.8,2,691,427,703,441,1.0
71,2.84,2,691,426,704,440,1.0
72,2.88,2,692,426,705,439,1.0
73,2.92,2,691,424,704,438,1.0
74,2.96,2,691,423,703,438,1.0
75,3.0,2,689,422,702,436,1.0
76,3.04,2,688,422,701,436,1.0
77,3.08,2,687,421,699,436,1.0
78,3.12,2,684,420,697,434,1.0
79,3.16,2,684,420,697,434,1.0
80,3.2,2,684,420,697,434,1.0
81,3.24,2,676,418,690,434,1.0
82,3.28,2,676,418,690,434,1.0
83,3.32,2,676,418,690,434,1.0
84,3.36,2,676,418,690,434,1.0
85,3.4,2,676,418,690,434,1.0
86,3.44,2,676,418,690,434,1.0
87,3.48,2,676,411,691,425,1.0
88,3.52,2,685,411,698,423,1.0
89,3.56,2,690,410,704,423,1.0
90,3.6,2,690,410,704,423,1.0
91,3.64,2,700,409,714,422,1.0
92,3.68,2,704,407,716,420,1.0
93,3.72,2,706,404,719,420,1.0
94,3.76,2,709,405,722,418,1.0
95,3.8,2,712,405,724,418,1.0
96,3.84,2,712,402,724,416,1.0
97,3.88,2,712,401,726,414,1.0
98,3.92,2,713,400,726,414,1.0
99,3.96,2,713,400,725,413,1.0
100,4.0,2,712,399,724,412,1.0
101,4.04,2,710,398,723,410,1.0
102,4.08,2,708,396,720,409,1.0
103,4.12,2,705,395,718,408,1.0
104,4.16,2,702,394,715,408,1.0
105,4.2,2,702,394,715,408,1.0
106,4.24,2,694,391,707,405,1.0
107,4.28,2,691,390,703,405,1.0
108,4.32,2,687,389,699,403,1.0
109,4.36,2,687,389,699,403,1.0
110,4.4,2,678,389,691,402,1.0
111,4.44,2,678,389,691,402,1.0
112,4.48,2,678,389,691,402,1.0
113,4.52,2,678,389,691,402,1.0
